nID;nID_Service;nID_City;nID_Region;nID_ServiceType;oData;sURL;bHidden;nID_Subject_Operator;bTest;sNote;asAuth;nID_Place;nID_Server
895;765;483;;4;"{""processDefinitionId"":""dnepr_soc_help_148:1:1""}";;false;14;false;;BankID,EDS;483;0
896;767;483;;4;"{""processDefinitionId"":""dnepr_soc_help_150:1:1""}";;false;14;false;;BankID,EDS;483;0
897;787;483;;4;"{""processDefinitionId"":""dnepr_soc_help_175:1:1""}";;false;14;false;;BankID,EDS;483;0
898;786;483;;4;"{""processDefinitionId"":""dnepr_soc_help_177:1:1""}";;false;14;false;;BankID,EDS;483;0
899;1383;483;;4;"{""processDefinitionId"":""dnepr_soc_help_176:1:1""}";;false;14;false;;BankID,EDS;483;0
900;780;483;;4;"{""processDefinitionId"":""dnepr_soc_help_157:1:1""}";;false;14;false;;BankID,EDS;483;0
901;776;483;;4;"{""processDefinitionId"":""dnepr_soc_help_147:1:1""}";;false;14;false;;BankID,EDS;483;0
902;762;483;;4;"{""processDefinitionId"":""dnepr_soczah_139:1:1""}";;false;14;false;;BankID,EDS;483;0
903;778;483;;4;"{""processDefinitionId"":""dnepr_soczah_160:1:1""}";;false;14;false;;BankID,EDS;483;0
904;775;483;;4;"{""processDefinitionId"":""dnepr_soczah_154:1:1""}";;false;14;false;;BankID,EDS;483;0
905;779;483;;4;"{""processDefinitionId"":""dnepr_soczah_165:1:1""}";;false;14;false;;BankID,EDS;483;0
906;781;483;;4;"{""processDefinitionId"":""dnepr_soczah_163:1:1""}";;false;14;false;;BankID,EDS;483;0
907;777;483;;4;"{""processDefinitionId"":""dnepr_soczah_156:1:1""}";;false;14;false;;BankID,EDS;483;0
908;759;483;;4;"{""processDefinitionId"":""dnepr_soczah_142:1:1""}";;false;14;false;;BankID,EDS;483;0
909;752;483;;4;"{""processDefinitionId"":""socialhelp_kidsUkraine:1:1""}";;false;14;false;;BankID,EDS;483;0
910;4;108;;4;"{""processDefinitionId"":""cnap_293:1:1""}";;false;225;false;;BankID,EDS;108;0
911;4;111;;4;"{""processDefinitionId"":""cnap_293:1:1""}";;false;225;false;;BankID,EDS;111;0
912;130;1;;4;"{""processDefinitionId"":""demo:1:1""}";;true;1;true;;BankID,EDS;1;0
913;137;;9;4;"{""processDefinitionId"":""dnepr_cnap_254:1:1""}";;false;305;true;;EDS;50009;0
914;99;465;;4;"{""processDefinitionId"":""dnepr_cnap_231:1:1""}";;false;632;false;;BankID,EDS;465;0
915;41;465;;4;"{""processDefinitionId"":""dnepr_cnap_225:1:1""}";;false;632;false;;BankID,EDS;465;0
916;47;484;;4;"{""processDefinitionId"":""dnepr_cnap_233:1:1""}";;false;225;true;;BankID,EDS;484;0
917;957;151;;4;"{""processDefinitionId"":""dnepr_cnap_238a:1:1""}";;false;225;true;;BankID,EDS;151;0
918;725;519;;4;"{""processDefinitionId"":""dnepr_cnap_305:1:1""}";;false;225;false;;BankID,EDS;519;0
919;725;151;;4;"{""processDefinitionId"":""dnepr_cnap_305:1:1""}";;false;225;true;;BankID,EDS;151;0
920;1403;;3;4;"{""processDefinitionId"":""ternopol_oda_239:1:1""}";;false;239;true;;BankID,EDS;50003;0
921;173;503;;4;"{""processDefinitionId"":""dnepr_dms-227ID:1:1""}";;false;205;false;;BankID,EDS;503;0
922;28;503;;4;"{""processDefinitionId"":""dnepr_dms-205ID:1:1""}";;false;205;false;;BankID,EDS;503;0
