nID;sID;sType;sURL_Alpha;sURL_Beta;sURL_Omega;sURL
0;Common_Region_Old;Region;;;;https://beta-old.test.region.igov.org.ua/wf
1;Common_Central_Old;Central;;;;https://beta-old.test.igov.org.ua/wf
2;Kiev_Region;Region;;;;https://test.admin.es.kievcity.gov.ua/wf
3;Local_Region;Region;;;;http://10.1.11.86/wf-region
4;Common_Central;Central;;;;https://beta.test.igov.org.ua/wf
5;Common_Region;Region;;;;https://beta.test.region.igov.org.ua/wf
11;MVD_CSC_Region;Region;;;;https://mvs-sc.test.region.igov.org.ua:8443/wf
12;TAPAS_Central;Central;;;;https://alpha-tapas.test.igov.org.ua/wf
13;TAPAS_Region_;Region;;;;https://alpha-tapas.test.region.igov.org.ua/wf
